id,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9
25115,1.483795,-1.234323,-1.079457,-1.057295,2.442516,-0.874991,-0.72357,1.809921,1.899436,-1.530046
2346,-1.13672,-1.234323,1.451114,2.77441,1.14068,0.014861,0.111736,-0.696663,0.188746,-0.647565
2613,0.481833,0.810161,0.185828,0.858557,-1.137534,-1.764843,-1.558876,-1.532192,-1.521944,-1.530046
15473,1.946238,-1.234323,0.185828,-1.057295,0.164303,-0.874991,-0.72357,0.138865,0.188746,0.234917
12900,-0.211833,0.810161,-1.079457,0.858557,-0.812074,-0.874991,-0.72357,-0.696663,-0.666599,-1.530046
27304,-0.365981,-1.234323,-1.079457,0.858557,-0.486615,0.014861,0.111736,0.138865,0.188746,0.234917
25068,2.17746,-1.234323,-1.079457,-1.057295,2.767975,-0.874991,0.111736,0.138865,0.188746,0.234917
29247,-1.213794,-1.234323,0.185828,0.858557,-1.137534,0.904712,-1.558876,-1.532192,-1.521944,-1.530046
23110,-0.288907,0.810161,0.185828,0.858557,0.706734,0.904712,1.782348,1.809921,1.899436,1.999879
11405,-0.982572,-1.234323,-1.079457,0.858557,-1.24602,0.014861,0.111736,0.138865,1.899436,0.234917
4824,0.790129,0.810161,-1.079457,-1.057295,2.334029,-1.764843,-1.558876,-1.532192,-1.521944,-1.530046
1830,-0.905498,-1.234323,0.185828,0.858557,-1.24602,-0.874991,-0.72357,-1.532192,-1.521944,-1.530046
28460,0.481833,0.810161,0.185828,-1.057295,-0.05267,1.794564,1.782348,1.809921,1.899436,-0.647565
6649,1.869164,-1.234323,-1.079457,-1.057295,-0.269643,-0.874991,-0.72357,-0.696663,-1.521944,-0.647565
24710,-0.828424,-1.234323,0.185828,-1.057295,-0.486615,0.014861,0.111736,1.809921,0.188746,0.234917
1051,-0.443054,-1.234323,0.185828,0.858557,-0.486615,1.794564,1.782348,2.64545,2.754781,1.999879
7706,-0.828424,0.810161,-1.079457,0.858557,-1.137534,1.794564,1.782348,0.138865,0.188746,0.234917
9638,-1.13672,0.810161,0.185828,0.858557,-1.462993,0.014861,0.111736,1.809921,0.188746,0.234917
5886,-1.13672,0.810161,0.185828,-1.057295,-0.703588,0.904712,1.782348,1.809921,1.899436,1.999879
26392,2.17746,0.810161,0.185828,-1.057295,0.598248,0.014861,-0.72357,0.138865,-0.666599,-0.647565
21410,-0.828424,0.810161,-1.079457,0.858557,-1.029047,-0.874991,-0.72357,-0.696663,-0.666599,-0.647565
637,-0.905498,0.810161,1.451114,-1.057295,1.466139,0.014861,0.111736,0.138865,0.188746,0.234917
15869,0.404759,0.810161,-1.079457,0.858557,-0.812074,0.014861,0.111736,0.138865,-0.666599,-0.647565
24819,0.250611,-1.234323,1.451114,-1.057295,1.249166,-1.764843,-1.558876,-1.532192,-1.521944,-1.530046
23489,1.715017,0.810161,-1.079457,0.858557,-0.378129,0.014861,0.111736,0.138865,0.188746,0.234917
1809,-0.211833,-1.234323,0.185828,0.858557,-0.05267,0.014861,0.111736,0.138865,0.188746,0.234917
22753,0.250611,0.810161,0.185828,0.858557,-0.161156,0.014861,0.111736,0.138865,-0.666599,-0.647565
7908,-0.905498,-1.234323,0.185828,0.858557,-0.703588,0.014861,0.111736,1.809921,1.899436,1.999879
9399,1.715017,0.810161,0.185828,0.858557,1.357652,0.014861,0.111736,0.138865,0.188746,0.234917
7293,0.558907,0.810161,1.451114,-1.057295,0.598248,0.904712,-1.558876,-1.532192,-0.666599,0.234917
20331,0.481833,0.810161,0.185828,-1.057295,2.00857,-0.874991,-0.72357,1.809921,1.899436,-1.530046
7237,0.867203,-1.234323,-1.079457,0.858557,-0.920561,-0.874991,-0.72357,0.138865,0.188746,0.234917
914,-1.059646,-1.234323,1.451114,-1.057295,1.032193,0.014861,0.111736,1.809921,0.188746,0.234917
8987,0.250611,-1.234323,-1.079457,-1.057295,-0.703588,-0.874991,-0.72357,-0.696663,0.188746,0.234917
5391,0.250611,-1.234323,-1.079457,0.858557,0.164303,1.794564,1.782348,1.809921,1.899436,1.999879
4791,-0.134759,0.810161,0.185828,0.858557,-1.24602,1.794564,1.782348,1.809921,-0.666599,-0.647565
5274,-0.828424,0.810161,0.185828,-1.057295,0.706734,0.014861,0.111736,0.138865,1.899436,1.999879
805,0.404759,-1.234323,0.185828,0.858557,-0.703588,0.014861,0.111736,0.138865,-1.521944,-1.530046
3884,-0.905498,-1.234323,0.185828,0.858557,-1.24602,0.014861,0.111736,0.138865,0.188746,0.234917
29164,1.483795,0.810161,1.451114,-1.057295,4.069811,-1.764843,-1.558876,-1.532192,-1.521944,-1.530046
29205,-0.905498,-1.234323,0.185828,0.858557,-1.354506,0.014861,0.111736,0.138865,0.188746,0.234917
23114,0.096463,0.810161,0.185828,-1.057295,-0.486615,0.014861,0.111736,0.138865,0.188746,0.234917
24429,-0.365981,-1.234323,0.185828,0.858557,0.164303,0.904712,1.782348,0.138865,0.188746,0.234917
21650,-0.443054,0.810161,-1.079457,0.858557,-1.029047,0.014861,0.111736,0.138865,0.188746,0.234917
6956,3.641866,0.810161,-1.079457,-1.057295,1.574625,-1.764843,-1.558876,-1.532192,-1.521944,-1.530046
18966,1.946238,0.810161,-1.079457,0.858557,-0.703588,-1.764843,-1.558876,-0.696663,0.188746,0.234917
23967,-1.13672,-1.234323,0.185828,0.858557,-1.137534,0.014861,0.111736,0.138865,0.188746,0.234917
10984,-0.905498,0.810161,-1.079457,-1.057295,-0.05267,0.014861,0.111736,0.138865,-1.521944,-1.530046
21997,-0.057685,0.810161,-1.079457,0.858557,-0.920561,-1.764843,-1.558876,-1.532192,-1.521944,-1.530046
9366,-0.905498,-1.234323,0.185828,0.858557,-0.269643,0.014861,0.111736,0.138865,0.188746,0.234917
3873,-1.059646,-1.234323,1.451114,-1.057295,1.466139,1.794564,1.782348,1.809921,1.899436,1.999879
23406,-0.674276,0.810161,-1.079457,0.858557,-0.161156,-0.874991,-0.72357,-0.696663,1.899436,0.234917
1103,0.713055,0.810161,0.185828,-1.057295,1.14068,0.014861,0.111736,1.809921,1.899436,1.999879
14479,-1.059646,0.810161,-1.079457,0.858557,-1.354506,0.014861,0.111736,0.138865,1.899436,1.999879
24030,-0.057685,-1.234323,-1.079457,0.858557,-1.029047,0.014861,0.111736,0.138865,0.188746,-0.647565
22225,-0.288907,0.810161,-1.079457,0.858557,-0.703588,0.014861,0.111736,1.809921,0.188746,0.234917
13860,0.250611,0.810161,0.185828,-1.057295,0.815221,-0.874991,-0.72357,-0.696663,-0.666599,-0.647565
6182,-0.520128,0.810161,0.185828,-1.057295,-0.05267,2.684416,2.617654,1.809921,1.899436,0.234917
19353,0.944277,0.810161,0.185828,-1.057295,1.466139,-0.874991,0.111736,0.138865,0.188746,0.234917
29435,0.096463,-1.234323,-1.079457,0.858557,-0.812074,0.014861,-0.72357,-0.696663,0.188746,-0.647565
19093,-0.134759,0.810161,0.185828,-1.057295,-0.161156,0.014861,0.111736,0.138865,0.188746,0.234917
10602,-0.905498,0.810161,1.451114,0.858557,-1.354506,-1.764843,-1.558876,-1.532192,-1.521944,-1.530046
20489,-0.057685,-1.234323,2.716399,0.858557,-1.029047,0.014861,0.111736,0.138865,0.188746,0.234917
15431,-0.905498,-1.234323,-1.079457,-1.057295,-1.24602,0.014861,0.111736,0.138865,0.188746,0.234917
22547,0.096463,0.810161,-1.079457,0.858557,-0.378129,0.014861,0.111736,0.138865,0.188746,0.234917
8326,0.250611,0.810161,-1.079457,0.858557,-0.378129,0.014861,0.111736,0.138865,0.188746,0.234917
13612,-0.211833,-1.234323,-1.079457,0.858557,-0.378129,0.014861,0.111736,0.138865,0.188746,0.234917
88,-0.057685,0.810161,0.185828,0.858557,-0.378129,0.014861,0.111736,0.138865,0.188746,0.234917
27413,0.019389,-1.234323,1.451114,-1.057295,1.032193,-0.874991,0.111736,0.138865,0.188746,0.234917
21885,1.329647,0.810161,-1.079457,0.858557,-0.920561,0.014861,0.111736,0.138865,0.188746,0.234917
16689,0.250611,-1.234323,-1.079457,-1.057295,0.923707,-0.874991,1.782348,1.809921,-1.521944,-1.530046
3909,-0.905498,-1.234323,0.185828,0.858557,-1.24602,0.014861,0.111736,0.138865,0.188746,0.234917
